timestamp,open,high,low,close,volume
2025-02-19,2670.65,2735.0,2656.4,2714.75,156729.0
2025-02-20,2714.2,2770.0,2706.2,2736.85,228600.0
2025-02-21,2738.4,2839.55,2618.25,2660.9,328717.0
2025-02-22,2658.3,2796.9,2653.4,2762.05,140836.0
2025-02-23,2762.3,2845.95,2743.95,2817.55,245578.0
2025-02-24,2817.15,2838.1,2478.3,2513.7,276374.0
2025-02-25,2512.8,2532.15,2328.25,2494.8,351081.0
2025-02-26,2494.1,2505.6,2258.85,2337.05,306466.0
2025-02-27,2337.0,2379.1,2229.35,2306.5,320883.0
2025-02-28,2307.35,2312.95,2077.65,2235.85,406330.0
2025-03-01,2237.3,2278.85,2142.25,2216.4,255303.0
2025-03-02,2216.6,2544.3,2173.95,2517.2,451711.0
2025-03-03,2520.4,2520.4,2097.5,2148.5,311623.0
2025-03-04,2145.3,2217.45,1989.55,2169.4,315443.0
2025-03-05,2169.8,2272.45,2154.85,2240.45,258852.0
2025-03-06,2240.25,2317.5,2176.45,2200.8,327648.0
2025-03-07,2201.25,2253.55,2105.05,2139.45,505245.0
2025-03-08,2140.05,2231.9,2104.35,2202.05,265695.0
2025-03-09,2202.3,2210.5,1988.55,2017.45,432807.0
2025-03-10,2020.6,2148.65,1813.55,1863.7,458747.0
2025-03-11,1866.15,1961.45,1755.0,1921.7,248328.0
2025-03-12,1922.25,1953.1,1831.6,1907.3,413697.0
2025-03-13,1909.35,1920.0,1821.55,1863.5,274107.0
2025-03-14,1863.8,1943.65,1860.75,1910.6,260521.0
2025-03-15,1911.5,1955.7,1903.6,1936.05,197564.0
2025-03-16,1936.6,1939.95,1859.9,1886.7,375399.0
2025-03-17,1886.5,1951.25,1879.55,1925.35,281000.0
2025-03-18,1925.6,1933.55,1871.95,1930.4,269171.0
2025-03-19,1932.1,2065.45,1927.25,2055.0,405070.0
2025-03-20,2056.95,2066.85,1951.9,1982.9,214135.0
2025-03-21,1982.5,1995.2,1937.85,1964.75,225999.0
2025-03-22,1963.8,2005.65,1963.8,1979.6,212850.0
2025-03-23,1979.25,2019.4,1976.6,2004.1,331958.0
2025-03-24,2003.15,2100.25,1977.1,2077.15,329041.0
2025-03-25,2080.05,2096.0,2038.25,2065.25,226645.0
2025-03-26,2064.7,2077.45,1981.75,2008.65,307108.0
2025-03-27,2008.6,2036.0,1986.35,2002.75,238152.0
2025-03-28,2002.9,2015.05,1862.5,1895.4,329480.0
2025-03-29,1895.25,1912.75,1799.35,1826.85,256606.0
2025-03-30,1827.05,1847.25,1772.05,1806.0,266520.0
2025-03-31,1808.3,1852.4,1777.55,1822.3,381805.0
2025-04-01,1821.6,1926.8,1818.5,1904.25,379410.0
2025-04-02,1903.4,1952.9,1782.85,1794.5,531691.0
2025-04-03,1793.5,1844.1,1751.05,1816.0,256056.0
2025-04-04,1816.45,1832.95,1759.4,1815.4,343609.0
2025-04-05,1816.0,1826.55,1775.4,1805.45,176683.0
2025-04-06,1805.9,1815.75,1540.25,1579.6,626743.0
2025-04-07,1579.05,1631.95,1414.7,1552.4,443247.0
2025-04-08,1551.2,1615.5,1446.65,1472.8,329884.0
2025-04-09,1472.0,1684.2,1386.2,1669.05,744856.0
2025-04-10,1668.65,1668.65,1474.35,1521.8,280578.0
2025-04-11,1522.05,1589.55,1505.65,1566.15,280485.0
2025-04-12,1566.15,1667.5,1546.75,1643.15,359550.0
2025-04-13,1643.6,1648.25,1561.05,1595.75,388508.0
2025-04-14,1596.75,1689.85,1595.35,1621.8,343055.0
2025-04-15,1623.0,1659.65,1582.5,1588.35,269077.0
2025-04-16,1588.0,1613.7,1542.35,1576.65,417178.0
2025-04-17,1575.65,1616.15,1564.05,1582.75,281429.0
