timestamp,open,high,low,close,volume
2025-02-19,95623.0,96842.0,95019.5,96598.0,181317.0
2025-02-20,96605.0,98659.5,96380.0,98253.0,178688.0
2025-02-21,98253.0,99427.0,94857.5,96128.0,360368.0
2025-02-22,96108.0,96966.5,95739.5,96503.0,110075.0
2025-02-23,96503.5,96603.0,95207.5,96218.0,174926.0
2025-02-24,96218.5,96463.0,91302.5,91549.5,344221.0
2025-02-25,91514.5,92499.5,86050.5,88639.5,390528.0
2025-02-26,88640.0,89361.0,82248.5,84163.5,344238.0
2025-02-27,84209.0,87041.5,82677.0,84665.0,243012.0
2025-02-28,84668.5,85046.0,78261.5,84292.5,436580.0
2025-03-01,84335.5,86516.0,83791.0,86008.0,207280.0
2025-03-02,86003.5,94904.5,85036.5,94226.0,408648.0
2025-03-03,94221.5,94367.5,85073.0,86170.0,246402.0
2025-03-04,86187.0,88910.0,81445.5,87249.5,296466.0
2025-03-05,87246.0,90937.0,86373.5,90566.5,237731.0
2025-03-06,90566.5,92777.0,87802.5,89881.0,221339.0
2025-03-07,89888.0,91197.0,84717.0,86754.0,384660.0
2025-03-08,86754.0,86860.5,85219.0,86180.5,148331.0
2025-03-09,86184.5,86471.0,79988.5,80645.0,281150.0
2025-03-10,80694.5,83916.0,77415.0,78570.5,265410.0
2025-03-11,78590.0,83580.5,76562.0,82896.0,240222.0
2025-03-12,82896.0,84415.0,80594.5,83625.5,187547.0
2025-03-13,83636.5,84301.5,79911.5,81085.0,208716.0
2025-03-14,81053.5,85255.0,80784.0,83935.5,241222.0
2025-03-15,83939.5,84625.0,83595.0,84303.0,128141.0
2025-03-16,84322.5,85089.0,81954.5,82542.0,287841.0
2025-03-17,82542.0,84710.5,82482.5,83962.5,165707.0
2025-03-18,83963.0,83977.0,81118.0,82666.5,162195.0
2025-03-19,82674.5,86962.5,82505.0,86802.0,274930.0
2025-03-20,86860.0,87399.5,83622.0,84183.5,183998.0
2025-03-21,84180.5,84811.0,83148.0,84050.0,174264.0
2025-03-22,84050.5,84504.5,83639.5,83797.5,137276.0
2025-03-23,83805.0,86076.0,83761.5,86044.0,203671.0
2025-03-24,86044.5,88730.5,85490.5,87463.5,260119.0
2025-03-25,87463.0,88484.5,86282.0,87363.5,158564.0
2025-03-26,87370.0,88242.0,85817.0,86861.5,182892.0
2025-03-27,86874.0,87713.0,85772.0,87191.5,176794.0
2025-03-28,87191.0,87470.0,83561.5,84381.0,242279.0
2025-03-29,84381.0,84585.5,81610.0,82604.5,209049.0
2025-03-30,82604.5,83490.0,81519.5,82334.5,180489.0
2025-03-31,82360.0,83868.0,81247.0,82517.5,313218.0
2025-04-01,82517.5,85550.0,82385.5,85121.0,244640.0
2025-04-02,85121.0,88438.5,82316.0,82485.5,423835.0
2025-04-03,82440.0,83889.5,81198.5,83137.0,222604.0
2025-04-04,83186.5,84670.0,81636.5,83861.5,378003.0
2025-04-05,83840.5,84237.5,82339.5,83491.5,144678.0
2025-04-06,83506.0,83740.5,77143.5,78388.0,385575.0
2025-04-07,78406.5,81190.5,74466.5,79112.0,441529.0
2025-04-08,79140.0,80820.0,76228.0,76284.5,209596.0
2025-04-09,76298.0,83549.5,74606.0,82588.0,472024.0
2025-04-10,82538.0,82703.0,78430.0,79560.5,180095.0
2025-04-11,79560.5,84254.5,78943.0,83385.5,297941.0
2025-04-12,83412.0,85850.5,82766.5,85242.0,242511.0
2025-04-13,85238.0,86044.5,83008.5,83719.0,232483.0
2025-04-14,83713.5,85755.0,83653.0,84541.0,170672.0
2025-04-15,84587.0,86420.0,83564.5,83609.0,235047.0
2025-04-16,83595.0,85432.5,83069.0,83990.0,254927.0
2025-04-17,83990.0,85441.5,83701.0,84915.0,181205.0
2025-04-18,84909.0,85092.5,84286.0,84421.0,115728.0
2025-04-19,84421.0,85597.0,84317.5,85042.0,205018.0
2025-04-20,85046.5,85284.0,83914.0,85138.5,198766.0
2025-04-21,85138.5,88418.5,85100.5,87466.5,334525.0
2025-04-22,87466.0,93938.0,87044.5,93405.0,275185.0
2025-04-23,93404.5,94420.0,91918.0,93639.0,152890.0
2025-04-24,93632.5,93979.0,91630.5,93931.5,167413.0
2025-04-25,93931.5,95730.5,92801.0,94599.5,293534.0
2025-04-26,94592.0,95153.0,93833.0,94575.5,144969.0
2025-04-27,94576.0,95270.5,93565.0,93697.0,188845.0
2025-04-28,93697.5,95547.5,92749.0,94965.0,285752.0
2025-04-29,94969.5,95416.0,93685.5,94209.5,161386.0
2025-04-30,94200.5,95181.0,92850.5,94125.5,192123.0
2025-05-01,94125.0,97372.0,94088.0,96438.5,199391.0
2025-05-02,96465.0,97848.5,96295.0,96831.0,179269.0
2025-05-03,96831.5,96868.0,95700.0,95803.0,150299.0
2025-05-04,95803.0,96257.5,94120.5,94230.5,175788.0
2025-05-05,94230.5,95164.5,93471.0,94697.0,147545.0
2025-05-06,94696.5,96856.5,93329.5,96794.5,169006.0
